Layer,1_token,2_token,3_token,4_token,5_token,6_token,EOS,Mean
Layer_1,0.002228606,8.441923,10.23278,16.316065,10.496078,21.672548,11.910749,11.296053086571424
Layer_2,0.19812,5.729718,6.1129136,10.572895,4.8852496,14.846731,6.516579,6.980315171428572
Layer_3,0.01990106,3.8168216,4.771514,7.180959,2.9827585,9.769184,4.5043683,4.720786637142857
Layer_4,0.027611075,1.7545084,2.5155473,4.5761056,1.913488,5.19654,2.9210007,2.7006858678571426
Layer_5,0.032757964,0.7712323,1.0801071,1.4925125,1.1944021,2.7413278,1.6040426,1.2737689091428572
Layer_6,0.035223942,0.39777675,0.6675351,0.6871757,0.54648244,1.6167462,0.9634104,0.702050076
Layer_7,0.034001343,0.29516467,0.57447064,0.6124192,0.4880772,0.6170999,0.6642441,0.46935386471428575
Layer_8,0.037287906,0.2674686,0.46342993,0.5721849,0.47904631,0.652473,0.5907456,0.4375194637142857
Layer_9,0.047155164,0.30089268,0.48998407,0.59449154,0.4972055,0.7922253,0.6120577,0.476287422
Layer_10,0.0561966,0.31170565,0.5032695,0.56851745,0.5011096,0.651176,0.6285592,0.46007628571428566
Layer_11,0.06981095,0.29605332,0.48146477,0.5712997,0.49546263,0.57568824,0.6285274,0.44547243
Layer_12,0.07369078,0.30549368,0.47386995,0.54637307,0.47714856,0.62455535,0.60177916,0.44327293571428567
Layer_13,0.10006549,0.36231965,0.479354,0.5459642,0.4940093,0.7146738,0.6147516,0.47301972
Layer_14,0.11612934,0.37936053,0.48754033,0.53138375,0.47252667,0.63640517,0.60717356,0.4615027642857143
Layer_15,0.15681066,0.42144665,0.5256533,0.5964453,0.5079595,0.6336379,0.64890647,0.4986942542857143
Layer_16,0.25000837,0.48238578,0.84433323,1.0252271,0.6821114,2.1466498,0.84114057,0.8959794642857144
Layer_17,0.2956388,0.5213148,0.88004297,0.99927735,0.6601931,2.0744858,1.0446845,0.9250910457142857
Layer_18,0.4764949,0.5735933,0.8583184,1.0057117,0.73858106,1.447021,1.4109207,0.93009158
Layer_19,0.525302,0.7687966,1.367828,2.2897534,1.0290643,1.8639164,1.6149281,1.3513698285714284
Layer_20,0.8564233,0.8492685,1.4803232,2.3631887,1.637757,1.0430825,1.6921939,1.4174624428571427
Layer_21,1.1992637,1.0152782,1.8791167,2.6196043,2.3190603,0.8325647,1.73499,1.6571254142857144
Layer_22,1.3362721,1.328966,2.3127506,2.728529,3.275214,0.86791456,1.8990369,1.9640975942857144
Layer_23,1.4725009,2.0600681,2.8584244,3.2279742,2.8615825,1.068669,2.2252939,2.253501857142857
Layer_24,1.7410566,2.2297628,3.1182873,4.038079,2.8652334,1.0066317,2.1402054,2.448465171428571
Layer_25,1.8523017,2.5635037,3.332014,4.828463,3.0614076,1.5779266,3.2047071,2.9171891000000003
Layer_26,1.6699964,2.9787898,3.8695781,4.997393,3.484031,2.1745498,4.524554,3.3855560142857146
Layer_27,1.3194431,3.5901546,4.1537194,5.0225077,3.6718826,2.8773084,5.5739193,3.744133585714286
Layer_28,0.8604369,4.787913,5.4668503,5.414393,5.049563,3.1749876,7.3284802,4.583232000000001
Mean,0.5307903,1.70006,2.2243226,3.0901744,2.063096,2.9963114,2.4732838,2.1540055
