Layer,1_token,2_token,3_token,4_token,5_token,6_token,7_token,8_token,9_token,10_token,11_token,12_token,EOS,Mean
Layer_1,0.002085238,6.595789,7.9761095,9.96725,9.640939,9.469847,7.1347814,11.461023,16.868511,21.165922,6.1398897,4.6466484e-05,14.188804,9.277769023421845
Layer_2,0.17013574,4.5320826,4.91219,5.595158,5.365248,5.7197437,3.8957841,6.992526,9.72009,12.77557,0.18737143,0.026486155,7.071351,5.151056671153845
Layer_3,0.016272439,3.0104558,3.1246047,3.5745404,3.428667,4.1765966,2.275164,4.8663697,7.1169333,9.1107435,0.13579455,0.02505497,4.8922806,3.5194982737692304
Layer_4,0.02375796,1.7390983,1.7639445,2.0622191,1.9232441,2.5135126,1.1465815,2.8655932,5.0370927,6.264677,0.1165494,0.030019127,3.239796,2.2096988836153844
Layer_5,0.030619822,0.7971962,0.88767576,1.0254742,1.1350707,1.3436122,0.49033904,1.9203576,2.932816,3.0201461,0.14428744,0.030616328,1.7097838,1.1898457838461538
Layer_6,0.032876574,0.41561902,0.42621917,0.43601742,0.5874347,0.6464245,0.3245033,0.7995558,1.1129597,0.86458415,0.103229865,0.041946426,0.88191956,0.5133300142307692
Layer_7,0.03230317,0.30632135,0.35228875,0.346298,0.4665884,0.6078403,0.30456436,0.5206165,0.84130317,0.7400989,0.12849918,0.050848324,0.73855174,0.4181632418461539
Layer_8,0.03738017,0.25163302,0.3254869,0.33589798,0.38766736,0.5665053,0.29753336,0.40842122,0.6958688,0.6291913,0.10364775,0.051042262,0.6666074,0.36591406323076925
Layer_9,0.045571737,0.27334577,0.33400118,0.35816434,0.41037843,0.6244757,0.3070418,0.4010721,0.65317017,0.6163379,0.1121835,0.050400645,0.6704948,0.37358754400000005
Layer_10,0.055895887,0.28562027,0.34498355,0.37556705,0.42656285,0.58935225,0.3225491,0.40678376,0.6383351,0.59701467,0.097816795,0.06714132,0.66937405,0.3751535886153846
Layer_11,0.067963436,0.27213615,0.3566426,0.38305965,0.4438681,0.5814415,0.3330765,0.39928126,0.6181186,0.58561057,0.098905146,0.07231423,0.6549812,0.3744153032307692
Layer_12,0.07324866,0.28003514,0.3614428,0.39414856,0.43993628,0.56887347,0.33470944,0.41378987,0.5928682,0.5577569,0.09966722,0.076988265,0.6283667,0.3709101157692307
Layer_13,0.110757045,0.32112378,0.39292297,0.41393596,0.44854668,0.5777255,0.35614094,0.4477489,0.59882784,0.55002004,0.13104965,0.106355265,0.65108097,0.3927873492307692
Layer_14,0.12785405,0.382411,0.4016106,0.43557048,0.48845637,0.616985,0.39247772,0.5187281,0.657354,0.5560649,0.12927876,0.12764192,0.6502238,0.42189666923076924
Layer_15,0.21066734,0.48914722,0.41782928,0.49000293,0.5898407,0.65662336,0.40124166,0.57578266,0.86159265,0.6179306,0.13215108,0.14744927,0.7864297,0.4905144961538462
Layer_16,0.24328451,0.5449359,0.47411248,0.5703603,0.6639972,0.68616104,0.42334345,0.65337974,1.0808078,0.69482213,0.12267931,0.1753946,0.85535014,0.5529714307692306
Layer_17,0.32942197,0.61813235,0.6595251,0.8803593,0.8786105,0.7663591,0.6829502,0.78226376,1.5249125,0.74492806,0.10967483,0.16668953,1.0411754,0.7065386615384616
Layer_18,0.35346672,0.65532976,0.7443914,0.9797529,1.0452846,0.7695199,0.6549559,0.9617815,1.8047994,1.3059789,0.10664971,0.15028471,1.2687689,0.8308434076923076
Layer_19,0.4643962,0.86986,1.0497042,1.374911,1.4581138,1.2730008,1.0024518,1.5890036,2.358286,1.3125423,0.07476727,0.177225,1.508384,1.1163573823076924
Layer_20,0.65632534,1.0041912,1.0429045,1.4522206,1.5762037,1.4028068,1.1328264,1.9778297,2.6367335,1.3289007,0.009501425,0.181851,1.7981855,1.2461907973076924
Layer_21,0.9593323,1.2906268,1.269289,1.8745571,1.9206961,1.9193501,1.3233366,2.4559164,3.1325717,1.4177623,0.01292339,0.46439976,2.1567466,1.5536544730769228
Layer_22,1.1751337,1.4295815,1.4399625,2.2359645,2.0533884,2.15597,1.6587119,2.47187,3.5790105,1.9533558,0.037198555,0.3381273,2.2361948,1.751113035
Layer_23,1.099167,1.6129261,1.6872106,2.515037,2.2490592,2.212927,2.1988273,2.582971,3.6009269,2.6119707,0.023019753,0.26039246,2.590206,1.9418954625384615
Layer_24,1.1066003,1.7501558,1.7676495,2.7272596,2.1303036,2.0982409,2.3339553,2.687995,4.4361525,2.9261103,0.016239138,0.25575316,2.843964,2.083106084461539
Layer_25,1.2224207,2.1998537,2.2727084,2.979586,2.6833146,2.5261855,3.0548794,2.9752395,5.292221,4.170955,0.02647778,0.0925743,3.6871116,2.5525790369230767
Layer_26,1.3023291,2.448207,2.4661336,3.4472682,3.3038204,3.0845027,3.306017,3.112533,5.948807,5.238733,0.006372253,0.084176,4.8801894,2.9714683579230767
Layer_27,1.1592169,2.8206315,2.8941483,3.492456,3.702904,3.0594778,2.927892,2.9357486,6.6479278,4.5535674,0.0031921635,0.03440213,5.982969,3.093425661038461
Layer_28,0.80069697,3.342595,3.364286,4.0599947,3.9170644,3.0638883,3.3195698,4.4696007,8.156331,5.8083954,0.00057235436,2.633817e-05,8.238095,3.733931997117693
Mean,0.42532793,1.4478228,1.5539278,1.956537,1.920186,1.9384984,1.5120074,2.237635,3.5409048,3.3114169,0.30034247,0.11734455,2.7566924,1.7706648807692307
