Layer,1_token,2_token,3_token,4_token,5_token,6_token,7_token,8_token,9_token,10_token,11_token,12_token,EOS,Mean
Layer_1,0.0025337895,13.684574,19.776718,16.532894,17.013079,17.646276,18.5052,16.414087,16.689165,17.650629,17.746485,18.12819,13.924146,15.670305906884616
Layer_2,0.21330087,9.076047,11.956184,9.340505,9.298294,10.108743,10.901238,9.3490305,9.621783,10.776732,9.7989645,11.111293,6.8522,9.10802422076923
Layer_3,0.022966513,6.113559,7.5191097,6.1574554,6.123955,6.4789686,7.522911,5.6849647,6.369044,7.4418697,6.3834734,7.731128,4.5526233,6.00784833176923
Layer_4,0.030345907,2.3476589,3.1754038,3.1092935,3.2283242,3.518656,4.7753644,2.970537,3.5144017,4.2730308,3.4260592,4.4801154,2.855241,3.2080332159230767
Layer_5,0.035833057,0.9499036,1.3507828,1.3713124,1.3494129,2.081333,2.6350067,1.4660683,1.5597962,1.7016037,1.9124879,1.7554883,1.3433377,1.5009512736153843
Layer_6,0.038900394,0.5907298,0.7200318,0.8697732,0.8343936,1.0148829,0.93727535,0.84161586,0.7647242,0.8776441,0.8985464,0.7364011,0.7863625,0.7624062464615384
Layer_7,0.03732273,0.54019654,0.6556845,0.8062903,0.7704385,0.8878476,0.83966345,0.75827396,0.6900905,0.7482417,0.7402592,0.59531933,0.7358253,0.6773425853846154
Layer_8,0.041444898,0.48434,0.6207865,0.7367663,0.74347824,0.79229414,0.7934955,0.72613114,0.68043387,0.6570636,0.73171455,0.6030962,0.6912136,0.6386352721538461
Layer_9,0.050088722,0.52662134,0.62920165,0.74085146,0.74156916,0.79611474,0.7576846,0.71549577,0.672141,0.6564375,0.7384149,0.6063025,0.7142421,0.6419358032307692
Layer_10,0.05822414,0.5443915,0.64426255,0.72722137,0.7627429,0.7932119,0.775035,0.72253406,0.67832404,0.6751674,0.7360314,0.62118936,0.7263326,0.6511283246153846
Layer_11,0.06937822,0.5649502,0.66881037,0.7264146,0.753495,0.78875834,0.7722449,0.7356018,0.6848312,0.68839824,0.72357905,0.62989885,0.737355,0.6572089053846153
Layer_12,0.078893445,0.5859151,0.6412147,0.7334415,0.7363606,0.7988724,0.7505167,0.7308989,0.67694026,0.670151,0.7042857,0.64014465,0.7210542,0.6514376273076923
Layer_13,0.12616831,0.67016035,0.686368,0.768779,0.75989956,0.79744834,0.75258976,0.74664026,0.70058906,0.6807523,0.7159143,0.6555708,0.7594535,0.6784871953846152
Layer_14,0.16200373,0.7336454,0.71319824,0.7912888,0.79126626,0.8613672,0.7940009,0.8470249,0.73094994,0.6933459,0.7027599,0.670398,0.759395,0.711588013076923
Layer_15,0.29891673,0.8931297,0.84004784,0.8318229,0.99859357,1.1764169,0.9305102,1.3362272,0.9332975,0.7996729,0.7338448,0.6905734,0.85172856,0.8703678615384616
Layer_16,0.5108457,0.9823545,0.86245304,0.8800242,1.1009945,1.178018,1.0006582,1.364742,0.92787206,0.89685583,0.73658097,0.6894316,0.9244925,0.9273325461538462
Layer_17,0.62270236,1.2445996,1.0054202,1.0291897,1.8756967,1.6556703,1.2839991,2.1797357,1.1337928,1.2493061,0.802528,0.7648307,1.0850906,1.2255816815384615
Layer_18,0.9846926,2.5750532,1.1205128,1.8896,4.785326,3.8608494,1.7943242,2.442213,1.2513639,1.3485408,0.86308724,0.7813399,1.1255544,1.9094198030769225
Layer_19,1.1485802,3.0477934,1.644805,3.274151,4.65864,4.40348,3.0534096,2.8491626,1.7526231,1.6671877,1.2631692,1.2272646,1.4329127,2.417167623076923
Layer_20,1.2832228,3.798413,1.9044924,3.599512,5.0748887,5.6310697,3.8626256,3.3960893,2.1540933,2.0400982,1.6140673,1.2494857,1.6652995,2.867181346153847
Layer_21,2.000456,3.8955245,4.1364636,4.327941,5.2240896,6.046336,4.4904385,3.7428432,2.7143476,2.402183,1.7849053,1.9033784,2.0760038,3.4419161923076924
Layer_22,2.5304482,4.909388,4.2000103,5.2724442,5.720649,6.576123,5.404861,4.193633,3.1357038,2.8409848,2.0310016,2.6311269,2.3870268,3.987184661538462
Layer_23,2.737466,5.2473793,4.8822308,6.077926,6.189081,6.861147,5.6982484,4.5838113,3.7770677,3.6101298,3.314432,3.9953723,2.921894,4.6073988923076925
Layer_24,2.9868245,5.3977866,5.153298,6.552117,6.7593637,6.946377,5.718988,5.000704,4.413688,4.499598,4.210824,4.7331653,3.2287328,5.046266684615385
Layer_25,3.3433063,6.0566897,5.4432673,7.597284,7.0160365,8.297332,7.0641875,6.081173,5.56211,6.1036,6.223783,5.34165,4.780063,6.0700370999999995
Layer_26,3.420119,6.4281316,6.3642855,7.4082623,7.7104034,7.802235,7.4788384,7.018243,6.328416,7.349203,7.4974203,6.5886893,5.9501414,6.718799092307692
Layer_27,3.0974782,6.9562163,8.633263,7.5290484,7.4137278,8.044869,7.1314096,7.424936,6.8071594,8.020046,8.4105015,7.472178,7.095094,7.23353286153846
Layer_28,2.5439417,8.685003,9.241236,9.304138,8.10414,8.155909,7.547258,8.153857,8.190397,9.731726,9.675094,8.580238,9.334649,8.249814361538462
Mean,1.0170144,3.4832199,3.7567697,3.892348,4.162083,4.4285936,4.070428,3.6598668,3.325541,3.598221,3.3971503,3.4147592,2.8934808,3.4691904384615384
