Layer,1_token,2_token,3_token,4_token,5_token,6_token,7_token,8_token,9_token,10_token,11_token,12_token,13_token,14_token,EOS,Mean
Layer_1,0.0041688895,13.151544,17.292341,16.628067,16.60166,15.317366,15.594707,16.322067,16.867693,17.79762,14.921705,12.628784,14.5069275,14.954325,13.328985,14.394530692633333
Layer_2,0.35199386,9.134752,10.462314,9.301228,9.567987,8.478368,9.222492,9.302123,9.074278,10.2035,8.7625885,6.962526,8.46056,7.5198717,6.624415,8.228599804
Layer_3,0.045523833,5.962907,7.0072374,6.172951,6.4175396,5.472747,6.139843,5.7979245,5.363608,6.91262,5.7896748,4.67669,5.2003145,4.226827,4.662393,5.323253375533333
Layer_4,0.047608126,2.9667416,4.062011,3.3084466,3.6506104,3.1305053,3.6039531,3.5738103,3.0765634,4.2027707,3.3342242,2.7647367,2.8343813,2.2570314,2.9849625,3.053223775066667
Layer_5,0.050927583,1.188303,1.7419541,1.4985542,1.7722913,1.5552648,1.5848135,1.6856138,1.4940577,2.065089,1.6203266,1.538805,1.3460103,1.5244075,1.5542649,1.4813788855333334
Layer_6,0.050507598,0.6049211,0.8182201,0.8427397,0.84896964,0.92525154,0.736217,0.9667301,0.9042097,0.89334303,0.8059649,1.0407102,0.7543757,0.87963414,0.8348094,0.7937735898666667
Layer_7,0.04919341,0.4818278,0.6382424,0.66692895,0.70919347,0.77012587,0.6743376,0.72080195,0.7428242,0.69928813,0.68554723,0.89554757,0.68720174,0.8597078,0.7552343,0.6690668280000001
Layer_8,0.053449024,0.4079147,0.5927877,0.6425787,0.6678452,0.7064829,0.64336544,0.67307705,0.67563295,0.66181,0.6783993,0.9204413,0.66667956,0.723252,0.6836711,0.6264924615999999
Layer_9,0.06292152,0.42673177,0.5863849,0.6545892,0.69267446,0.7171958,0.63683206,0.6620987,0.6690735,0.6409754,0.66852075,0.93220407,0.6419955,0.62859964,0.69250685,0.6208869413333334
Layer_10,0.06655481,0.4171332,0.57341325,0.6461555,0.69510156,0.70463336,0.6404402,0.65141773,0.6649495,0.65711236,0.6723769,0.90450907,0.6336726,0.6159311,0.68235093,0.6150501379999999
Layer_11,0.084384605,0.3969331,0.5727562,0.6482571,0.6822156,0.7021753,0.6499862,0.64648557,0.6759698,0.66962427,0.6747266,0.90603864,0.6388806,0.6379383,0.6822471,0.6179079323333333
Layer_12,0.08994957,0.41988263,0.5779634,0.6583562,0.68466884,0.7032397,0.62964547,0.6450446,0.6653909,0.64003795,0.6566722,0.94467574,0.6610834,0.6848169,0.647544,0.6205981
Layer_13,0.12690322,0.4946189,0.5931882,0.65551955,0.7016383,0.69731355,0.6485813,0.6580321,0.69318897,0.66124195,0.68414986,0.993183,0.7021794,0.6696608,0.66549355,0.6429928433333333
Layer_14,0.14138028,0.54270643,0.6201665,0.69902873,0.7342658,0.7704238,0.6971918,0.691267,0.7536559,0.70080644,0.7977194,1.0013498,0.9349131,0.8665881,0.65008765,0.7067700486666666
Layer_15,0.22147232,0.6224583,0.65828073,0.7326441,0.8197675,0.89791876,0.7941748,0.8600458,0.8792605,0.8832877,0.8541529,0.9784349,0.9241235,0.7229698,0.7292477,0.7718826206666667
Layer_16,0.29632562,0.71680266,0.7464354,0.839883,0.942103,0.98470634,0.880354,0.90268636,1.083579,1.0114044,0.96121854,1.0793899,0.9561532,0.930481,0.8327258,0.8776165480000001
Layer_17,0.40126097,0.82157177,0.89116615,0.9951916,1.1002235,1.1857382,1.0679687,1.1790159,1.2074721,1.4533111,1.2577624,1.1941977,1.0546975,1.0174553,0.88785654,1.0476592953333335
Layer_18,0.470268,1.0668892,1.0620383,1.2337855,1.5116967,1.7094454,1.204607,1.4066052,1.5609863,1.7823228,1.4955289,1.4800006,1.245964,1.2735747,1.0740983,1.3051873933333333
Layer_19,0.75959,1.3380262,1.3855586,1.7588484,1.9221104,2.1293507,1.9554983,1.7940296,2.0604339,2.1596062,2.025487,1.9476147,1.546127,1.9062862,1.2677836,1.7304233866666663
Layer_20,1.2040344,1.6575512,1.7453953,2.0942407,2.4809313,2.850275,2.5221758,2.3908467,2.5882618,2.7400277,2.4672554,2.0607438,1.6893065,1.9490899,1.5005807,2.12938108
Layer_21,1.5448911,1.9887031,2.1600835,2.7214832,3.1424723,3.2690794,3.0944986,3.2335668,3.424466,3.2477188,2.8994448,2.7442071,2.2673519,2.2345078,1.7702743,2.64951658
Layer_22,1.9021032,2.35801,2.5751383,3.2624109,3.5823362,3.7179914,3.7628148,3.8622952,3.64801,3.6446285,3.0012941,2.812001,2.6489086,2.388552,1.8582736,3.0016511866666664
Layer_23,2.1438067,2.7080638,3.0478408,3.6815717,4.084062,4.0243454,3.9751718,4.435624,4.123388,4.2071548,3.344268,3.14741,2.9199846,2.99927,2.084849,3.3951207066666664
Layer_24,2.064259,3.0834353,3.3084645,4.024517,4.4030914,4.3030868,4.278109,4.6456285,4.6588244,4.7077484,3.7737448,3.9633973,3.6392648,3.9203625,2.3214428,3.8063584333333336
Layer_25,2.6174293,4.0120816,4.236123,4.9426913,4.8725533,5.210713,5.41157,5.9286485,6.0759277,5.5014462,5.1872444,5.3156447,4.6995034,4.99926,3.4529986,4.830922333333333
Layer_26,2.7075946,4.5405564,5.271982,5.6233115,5.680474,5.7150373,5.9845257,6.4331017,6.6478143,5.927751,6.22458,6.635535,6.045122,5.841798,4.795161,5.604956300000001
Layer_27,2.5457377,5.2590775,6.059057,6.0433254,5.7529044,5.98984,6.1629076,6.5062857,6.9908614,6.069587,6.2256527,6.7596054,7.1544366,6.090254,5.957556,5.971139226666666
Layer_28,2.041552,7.419628,7.9338613,7.2257433,6.587407,6.9027486,7.5267653,7.3092194,8.071553,6.756863,6.6538496,8.755807,8.441274,6.010586,8.492401,7.0752839000000005
Mean,0.79092115,2.6496348,3.1150146,3.1501088,3.2610285,3.197906,3.240127,3.3530033,3.4050689,3.482097,3.1115744,3.0708642,2.9964783,2.8333232,2.5883648,2.949700996666667
