Layer,1_token,2_token,3_token,4_token,5_token,6_token,7_token,8_token,9_token,10_token,11_token,12_token,13_token,14_token,15_token,EOS,Mean
Layer_1,0.0021899075,9.713222,18.707558,13.527122,17.14872,17.035603,19.276112,17.048105,16.57459,16.459766,17.0434,16.599073,16.710443,9.270058,19.873613,13.54015,14.90810780671875
Layer_2,0.22009918,6.417164,11.021298,6.9747663,9.241396,9.661074,11.8115015,8.97911,9.555657,10.097986,9.995546,9.639893,9.730531,5.090947,12.506852,6.544899,8.593044998749999
Layer_3,0.024778392,4.32169,6.623688,4.5881915,6.210242,6.333038,8.356358,5.708749,6.441715,6.345308,6.760158,6.30407,6.146671,5.2189355,7.581403,4.532772,5.718610461999999
Layer_4,0.032318093,1.8160529,2.8135743,2.2969933,2.9151394,3.291857,4.807761,2.7705054,3.820154,3.7429402,4.0532794,3.643058,4.246946,4.4700093,3.3755898,2.991688,3.1929916308125
Layer_5,0.037152153,0.7592418,1.4666426,1.1701676,1.3476955,1.8248109,2.46338,1.4536606,1.8086892,1.6265298,1.6052157,1.3065919,2.7060132,3.5489411,1.6608841,1.5299709,1.6447241908125
Layer_6,0.039904166,0.40994227,0.79651123,0.7486906,0.7917011,0.92437947,0.96448237,0.878276,0.909187,0.8705042,1.0559399,0.8464096,1.2536829,2.579429,0.912208,0.862962,0.9277631128749999
Layer_7,0.037993662,0.38484016,0.70417756,0.69183886,0.68731254,0.8422105,0.8849246,0.8277241,0.7729097,0.81927925,0.8355196,0.7531872,0.8274727,2.0020957,0.90088934,0.78139395,0.797110588875
Layer_8,0.04165486,0.35133862,0.66337436,0.621662,0.6389214,0.7796016,0.81638473,0.76537985,0.71666473,0.7374495,0.76161325,0.7513561,0.7687853,1.5801265,0.83924913,0.71388876,0.7217156681250001
Layer_9,0.05157452,0.39477825,0.6991757,0.6437652,0.62915903,0.7680082,0.78639907,0.77326703,0.7126258,0.7800958,0.8188886,0.75480765,0.8193309,0.96491814,0.83146787,0.7172008,0.6965914099999999
Layer_10,0.061376434,0.40516353,0.70995075,0.6332919,0.6655042,0.76861453,0.79895085,0.761918,0.7095187,0.7308551,1.1238092,0.79464656,0.89562213,1.1563609,0.8526981,0.71234,0.7362888052499998
Layer_11,0.07501177,0.43568316,0.70083475,0.64146686,0.66131806,0.7691756,0.7632229,0.77195066,0.7197528,0.711002,1.2016987,0.77516437,0.8284176,1.742243,0.81999236,0.7172005,0.770883443125
Layer_12,0.08057132,0.45571426,0.6939962,0.63438386,0.6383461,0.77556115,0.77446467,0.77576774,0.74010724,0.6979989,1.1649923,0.7691288,0.96996987,1.7810318,0.76513475,0.71255416,0.776857695
Layer_13,0.11439965,0.5211174,0.71329474,0.64083236,0.63969296,0.7790799,0.77091783,0.78338814,0.73801976,0.7223594,1.1389472,0.7572972,0.9527523,1.3103635,0.79165846,0.72067297,0.7559246106250002
Layer_14,0.14625996,0.55336887,0.7152768,0.65952504,0.6640629,0.82489616,0.7988872,0.8226314,1.0179591,0.7489448,1.2322029,0.7767734,1.0450718,2.3734076,0.765809,0.7145316,0.8662255331250002
Layer_15,0.25839263,0.67925876,0.850547,0.7524675,0.77795005,1.024308,0.8726689,1.0345472,1.3321341,0.9525483,1.5063702,0.8627996,1.1699104,2.2354498,0.8234536,0.8011965,0.99587515875
Layer_16,0.36157706,0.7596004,0.8872417,0.9772037,0.860939,1.1848583,1.0819649,1.310035,1.6363611,1.0078055,1.5476698,1.2357774,1.6353772,2.392266,0.8882486,0.9163132,1.1677024287500002
Layer_17,0.50780165,0.92857844,1.0181966,1.2383602,1.2070189,1.6911559,1.3889449,1.6134863,1.9127172,1.2995664,1.7658957,1.5026916,1.7536442,2.8824477,1.3261831,0.99789435,1.43966144625
Layer_18,0.75459844,1.5836382,1.3913978,1.9762139,3.2791228,3.6220956,1.8869423,2.3702414,2.1511714,1.7287191,2.3287811,1.7020888,2.2228384,3.217869,1.2218825,1.16858,2.03788629625
Layer_19,0.9007197,2.114391,1.9233227,3.221533,3.2452362,3.9912584,3.15712,3.2298548,2.8713017,2.4850688,3.0316942,2.5613759,3.0471625,5.20733,2.480339,1.5597874,2.81421845625
Layer_20,1.3543808,2.8210597,2.641313,4.122425,3.867003,5.2872677,4.3356347,3.655637,3.9443512,3.1058872,3.8464913,3.5494354,3.9104362,5.6486206,3.5374095,1.898781,3.59538333125
Layer_21,1.8870058,3.0750728,4.5772433,4.9534597,4.0869713,5.50241,5.093673,4.312781,5.114603,3.8722334,5.1870427,4.782973,5.071791,7.8726482,3.928092,2.3165712,4.477160712500001
Layer_22,2.1171362,3.6635435,4.459196,5.707907,4.4686036,5.9641933,6.198226,4.8645415,5.514502,4.500227,5.4208198,6.0407844,4.4912825,8.175232,6.2782736,2.7806234,5.0403182375
Layer_23,2.3183568,4.8089027,5.6090245,6.0303955,4.9369483,6.496588,6.89008,5.485753,5.7842426,4.7521243,5.3628497,6.5213857,5.0434504,7.67564,6.3141603,3.213233,5.4526959249999996
Layer_24,2.4897726,4.8599114,5.640621,6.2369714,5.501418,6.743149,7.1172333,5.7024994,5.676922,5.080566,5.7955785,7.295229,5.76261,8.672016,6.1589975,3.4028795,5.758523412499999
Layer_25,2.749276,4.902716,5.9000163,7.00572,5.457516,7.7846107,7.8844275,6.7196307,6.1519012,6.2257757,6.6883607,8.104527,7.1388206,9.534194,8.071752,4.52786,6.552944025000001
Layer_26,2.7913716,5.305252,6.248441,6.5964036,6.267023,7.706376,8.225493,7.2046285,6.527454,7.031288,6.924567,8.084667,7.547756,9.554777,8.002029,5.593882,6.850713043749999
Layer_27,2.3680117,5.0058923,7.4984336,6.2354784,5.9610543,7.711057,7.3511853,6.766232,6.773825,7.835741,6.832845,8.137747,8.31355,9.719645,9.307649,6.3672194,7.011597875
