Layer,1_token,2_token,3_token,4_token,5_token,6_token,7_token,8_token,9_token,10_token,11_token,12_token,13_token,14_token,EOS,Mean
Layer_1,0.0038932727,11.872263,16.987173,15.405115,16.38998,14.477144,15.238349,12.046284,9.64962,11.827984,18.84912,15.541891,13.30641,14.027292,13.874808,13.299821751513331
Layer_2,0.32734847,8.110496,9.598485,8.491452,8.4695425,7.961196,8.16993,6.9683194,6.030482,6.952048,10.706499,7.6674004,6.130048,8.725994,7.236384,7.436374984666668
Layer_3,0.03914426,5.488488,5.880703,5.639227,5.645372,5.308244,5.617541,3.894985,3.925957,4.7141266,7.66716,5.918125,2.9623938,5.6628175,5.0663843,4.895377897333334
Layer_4,0.04251932,2.9603698,2.9795783,3.4247816,2.7318256,2.947929,2.9180224,2.5444064,1.8883433,3.222557,5.303845,4.026243,1.0559254,3.029257,3.3266737,2.8268184546666664
Layer_5,0.046609875,1.2250075,1.3761119,1.9492733,1.5529692,1.664152,1.3812007,1.1894841,0.536873,1.8027,3.1921923,2.3363962,0.747154,1.226814,1.8250997,1.4701358516666665
Layer_6,0.046962213,0.5787099,0.75609916,1.0162736,0.84783,1.044554,0.81888986,0.76762164,0.45423207,0.647317,1.7321957,0.985556,0.6783808,0.69566536,1.0121542,0.8054961001999998
Layer_7,0.045917593,0.47114873,0.66647345,0.7673279,0.71388155,0.9367405,0.65563273,0.62524647,0.41273275,0.4609568,0.8388477,0.6254058,0.6231418,0.6420126,0.80271196,0.6192118888666667
Layer_8,0.05012923,0.4170852,0.6262581,0.6825587,0.657186,0.8708979,0.66799563,0.6090859,0.39866033,0.46610713,0.5875297,0.6108602,0.603847,0.6213225,0.69903284,0.5712370906666667
Layer_9,0.05967802,0.43777615,0.64332557,0.6854138,0.65601087,0.7431378,0.63681126,0.62701374,0.41105095,0.49092492,0.5416872,0.568545,0.57500315,0.5454776,0.7189431,0.5560532753333334
Layer_10,0.06380791,0.4373478,0.6475219,0.6564807,0.68431324,0.8216125,0.6412458,0.61865926,0.4118226,0.5086474,0.5692674,0.5703858,0.57545626,0.51995575,0.7061476,0.562178128
Layer_11,0.080511376,0.42671105,0.63416016,0.647138,0.6583866,0.8318868,0.63751817,0.6238637,0.38634983,0.5105695,0.6157196,0.61681366,0.6000311,0.5305276,0.7096525,0.5673226430666667
Layer_12,0.08367795,0.43575996,0.604488,0.61562747,0.61441106,0.85406446,0.61954707,0.5910801,0.38964596,0.49389437,0.5959893,0.5623733,0.5909021,0.49459857,0.67588925,0.5481299279999999
Layer_13,0.117441215,0.4863503,0.63017935,0.6361398,0.6430478,0.83586293,0.6217997,0.5802127,0.46043324,0.52360064,0.63768864,0.604352,0.5819872,0.47817004,0.69666404,0.5689286396666667
Layer_14,0.13249373,0.5319543,0.630207,0.6849734,0.6929984,0.98826545,0.6254101,0.5648479,0.46379486,0.54676026,0.672351,0.6202747,0.5908213,0.5186384,0.70356464,0.5978236960000001
Layer_15,0.25164104,0.70014197,0.79866785,0.7349981,0.8527458,0.9779783,0.8841815,0.6116535,0.5398288,0.54395264,0.7040691,0.6801432,0.5831827,0.5113362,0.8435738,0.6812062999999999
Layer_16,0.33464175,0.80243486,0.79168165,0.8959303,0.85851526,1.2670698,0.83581525,0.678405,0.79405946,0.57888675,0.71688104,0.68897074,0.59500104,0.62879467,0.8439123,0.7540666579999998
Layer_17,0.48728633,0.95361894,1.0065267,1.22199,1.1527077,1.440979,0.9105286,0.94588935,0.7074849,0.6609906,0.71738446,0.6883292,0.59549963,0.6153,0.9659701,0.8713657006666666
Layer_18,0.68187165,1.3923084,1.151294,1.5923562,1.7475761,1.6863558,1.3943113,1.0874596,0.76905155,0.8737194,0.9822935,0.7749746,0.82061946,0.6888716,1.0257139,1.1112518040000003
Layer_19,0.9213611,1.6608117,1.5943055,2.660348,2.1548266,1.7157087,1.8530633,1.6390147,1.3007538,1.6978502,1.2099192,0.93860006,1.549254,1.206928,1.1492896,1.550135630666667
Layer_20,1.4976276,2.0163336,2.3300807,3.2923293,2.8811932,2.3780086,2.1395078,2.389284,1.8202087,2.8540752,1.8650701,1.3865747,1.9052638,2.6820014,1.3612853,2.1865896
Layer_21,1.8439999,2.3004982,3.738699,4.0189586,3.339688,2.6958427,2.3977149,2.7410378,2.0072463,3.5044143,2.9779778,2.3433955,2.344504,2.4860997,1.5818714,2.688129873333333
Layer_22,2.244018,2.7977347,3.6905377,4.55643,3.478359,3.1308072,3.5032551,3.1953516,2.6011636,3.362218,3.780599,2.876894,2.3098786,2.31801,1.6630133,3.0338846533333332
Layer_23,2.1680794,4.234288,4.8537984,4.6443086,3.9267292,3.5685904,3.8135233,3.1956682,2.348748,4.004188,4.0017014,3.1004581,2.6072197,2.8105364,2.0477061,3.42170288
Layer_24,2.0746076,4.3955045,4.898916,4.880809,4.3052464,3.7044787,4.049158,3.8954213,3.5274105,4.253445,4.2092905,3.5407453,2.6133182,2.8755615,2.3376856,3.7041065400000006
Layer_25,2.321983,4.704349,5.086209,5.5721736,4.552336,4.014201,4.738995,4.925174,4.155358,4.573438,4.895974,4.309668,5.0095854,3.677837,3.5660431,4.406888273333333
Layer_26,2.4018903,5.2121034,5.9302635,6.0604854,5.4347973,5.282945,5.5957627,6.149915,3.952962,4.9812646,5.6536407,7.082019,6.579261,3.8368757,4.838005,5.26614604
Layer_27,2.1854224,5.2373257,6.361337,6.042389,5.7058992,5.5680604,6.208014,6.6090627,3.5750055,4.1275964,6.0330486,7.899159,5.5988755,5.729914,6.051811,5.528861360000001
Layer_28,1.5577556,6.626969,7.813853,7.16167,6.0314116,6.3564725,8.314537,7.2751083,4.978649,3.9567444,7.41927,9.259503,7.896747,8.08894,7.963849,6.7134319599999985
Mean,0.7897258,2.7469246,3.3109622,3.379891,3.1207068,3.0026143,3.0674381,2.7710555,2.1034973,2.6121774,3.4884717,3.1008592,2.52249,2.709841,2.6533513,2.75866708
