Layer,1_token,2_token,3_token,4_token,5_token,6_token,7_token,8_token,9_token,10_token,11_token,12_token,EOS,Mean
Layer_1,0.0020648674,10.583013,14.534999,14.197479,15.927579,15.593248,14.550197,15.799978,15.9312935,18.835972,19.02993,24.512444,14.3502655,14.91142022056923
Layer_2,0.17402449,7.145318,8.515869,8.516236,8.772697,9.16067,8.641899,9.066059,9.251627,10.404004,10.686046,16.59022,7.169368,8.776464422307694
Layer_3,0.017155603,4.7596855,5.331773,5.6368217,5.8650928,6.0102277,5.614797,5.796818,5.9761777,6.9924684,7.218327,11.511026,4.814367,5.811133646384617
Layer_4,0.024900705,2.2383227,2.7293706,3.0495195,3.0483043,3.4124897,3.3432176,3.3701606,2.6271238,4.585401,3.875432,7.297474,2.9526482,3.2734126696153845
Layer_5,0.031787615,0.984258,1.2286911,1.5040789,1.7406075,1.5617589,1.7668816,2.0599418,1.7942657,2.5961635,2.0426652,2.9873729,1.6830509,1.690886431923077
Layer_6,0.033714034,0.50077224,0.6517415,0.8205008,0.8550822,0.76725197,1.0207478,1.2192366,1.1773075,1.4680486,0.7532015,1.4458268,0.8604904,0.8903016879999999
Layer_7,0.03272309,0.39067128,0.55507815,0.73062515,0.7135774,0.65392685,0.7991435,0.7284309,0.81238604,1.1189607,0.71253616,0.86569893,0.7184811,0.6794030192307692
Layer_8,0.037410777,0.33798128,0.5210168,0.619515,0.634113,0.6306776,0.6687119,0.65671694,0.66104525,1.0216806,0.70418864,0.7717247,0.65631855,0.6093154643846154
Layer_9,0.04617881,0.37412536,0.5478465,0.63912493,0.615067,0.6370273,0.665961,0.63709366,0.67099595,0.8236696,0.69858414,0.6646215,0.6758338,0.5920099653846154
Layer_10,0.055739366,0.38306794,0.55219823,0.6070222,0.63922817,0.63783365,0.6385859,0.6658917,0.6589186,0.79122007,0.704031,0.6661464,0.6734686,0.5902578327692307
Layer_11,0.06904599,0.38598785,0.55679035,0.6440591,0.6269568,0.6377523,0.66820097,0.61509764,0.6683991,0.76581275,0.7120109,0.73700887,0.66699326,0.5964704523076925
Layer_12,0.075348906,0.4057475,0.5422133,0.6447463,0.6213375,0.637858,0.6540194,0.67562413,0.62656766,0.7525007,0.67239374,0.7238617,0.6575521,0.5915208412307693
Layer_13,0.1124724,0.4657241,0.57347697,0.6413242,0.6656554,0.6538457,0.6701107,0.8804712,0.67176044,0.78043634,0.7316634,0.6907441,0.678101,0.6319835346153846
Layer_14,0.13060173,0.5312732,0.6243834,0.7011726,0.6651468,0.671149,0.6942186,1.0057294,0.74583536,0.7348433,0.8496588,0.69796497,0.681159,0.6717797046153845
Layer_15,0.24416451,0.6271635,0.7758304,0.7563591,0.78059363,0.7869655,0.93320227,1.1654605,1.002515,1.2040402,1.3229865,0.7549231,0.80541277,0.8584320753846153
Layer_16,0.31478503,0.72045785,0.9076438,0.80301857,0.8601956,0.99067044,1.1662086,1.5836574,1.397763,1.3283085,1.2905141,1.0555798,0.88978666,1.0237376423076923
Layer_17,0.41292992,0.8586487,1.025201,1.0986817,1.1404035,1.4275286,1.383659,1.6716337,1.8573376,1.3613667,2.7810242,1.2056706,0.97310686,1.3228609292307694
Layer_18,0.55228794,1.3354964,1.2549583,1.5008802,2.0690308,2.2383144,1.5719413,2.3327012,2.0753903,2.9357104,2.8984373,1.4517615,1.3107576,1.8098205876923077
Layer_19,0.7221644,1.6031983,1.7458044,2.219877,2.2035637,2.526353,2.731366,2.7693396,3.088886,3.110766,3.6290913,1.6125404,1.6554765,2.278340507692308
Layer_20,0.98248273,1.9821354,2.2299488,2.514705,2.6986885,3.2167957,2.7177336,3.2949638,3.0922124,2.9238613,3.7244208,1.9445672,1.9379253,2.5584954253846157
Layer_21,1.3811593,2.2513082,3.076023,2.9326086,3.1648815,3.8859951,3.073987,3.4886482,3.1520445,2.8985138,2.2937133,1.7164005,2.3596597,2.7442263615384617
Layer_22,1.6656684,2.6874557,3.364922,3.6044252,3.5125654,4.5473256,3.6176383,4.423006,3.961246,4.094217,2.8665345,2.0878096,2.5843067,3.309009261538461
Layer_23,1.6836685,3.0928385,3.6456819,3.9470787,3.7067466,4.7984333,4.6620297,4.6902323,4.170428,4.8149595,3.0883005,4.801738,2.9082778,3.8469548692307693
Layer_24,1.6987185,3.3174443,3.8602703,4.0805163,4.105245,4.9599686,4.425287,5.1240907,4.435089,5.377977,3.7972832,3.604881,3.1666362,3.996415930769231
Layer_25,1.9302188,3.9296331,4.4330072,4.999534,4.6331573,5.9074,5.133675,5.7464833,5.2504063,6.3694887,6.012755,5.3803444,4.0905576,4.9089739
Layer_26,2.1669774,4.144303,4.9049773,5.3351035,5.102553,5.922414,5.5818863,6.131165,6.2374845,6.396956,7.3925767,5.0928655,5.2419033,5.357781961538462
Layer_27,1.9304082,4.4592247,5.9527,5.5024796,5.058081,5.961665,5.6226254,6.0145283,6.887021,8.097452,7.569905,6.0380344,6.176547,5.7900516615384605
Layer_28,1.504858,5.7198668,6.799165,6.2711825,5.574676,5.8435826,6.4717994,6.259227,8.03022,9.037879,8.077665,7.655796,7.9565086,6.554032761538462
Mean,0.6440593,2.3648257,2.9086277,3.018524,3.0714583,3.3813975,3.196062,3.4954422,3.461134,3.9865243,3.7905674,4.0916085,2.831963,3.0955533769230765
