Layer,1_token,2_token,3_token,4_token,5_token,6_token,7_token,8_token,9_token,10_token,11_token,12_token,13_token,14_token,EOS,Mean
Layer_1,0.0047003324,8.934712,10.216298,12.236648,13.216591,11.143201,12.415812,12.955928,11.484675,12.609493,10.168985,10.1149235,13.229998,8.265892,13.030459,10.668554388826667
Layer_2,0.4413226,6.245056,5.8141727,6.976937,7.2878766,5.608989,7.6261883,7.273153,6.4780884,6.9646134,5.485738,5.900378,7.1561747,2.789716,6.531029,5.905295513333333
Layer_3,0.06665421,4.271611,3.9282026,4.6258183,4.8100677,3.6543875,5.095066,4.456848,3.8217058,4.2842655,2.9718213,4.0714984,4.638613,0.7999929,4.529194,3.735049747333334
Layer_4,0.06436108,2.3298614,2.228192,2.642561,2.9024959,2.1224043,2.8214722,2.639079,1.5256491,2.4116747,1.386961,2.4026847,2.4300425,0.59938043,2.8509142,2.090515567333333
Layer_5,0.06339461,0.9771486,1.0066161,1.194529,1.4670675,0.9606998,1.4078741,1.2507423,0.7366819,1.3366125,0.80446446,1.0079297,1.6941838,0.4637713,1.4897574,1.057431538
Layer_6,0.060522005,0.46238443,0.6212192,0.7230339,0.7396998,0.6231818,0.64087564,0.7115945,0.5021538,0.78139555,0.6182474,0.75799096,0.6991762,0.4534909,0.83916986,0.6156090630000001
Layer_7,0.058778867,0.40204856,0.52535176,0.6182204,0.62941337,0.54734254,0.59196323,0.6235995,0.49431786,0.6746224,0.5079432,0.5236645,0.5557114,0.48804533,0.7240378,0.5310040478
Layer_8,0.0624964,0.35389853,0.49429148,0.5875499,0.58975023,0.5276469,0.5266433,0.5987548,0.48701414,0.64830476,0.49398768,0.49625054,0.51123387,0.47190976,0.64995617,0.4999792306666667
Layer_9,0.07022422,0.377116,0.500734,0.599641,0.58487964,0.53834516,0.5243518,0.589335,0.500798,0.5358084,0.47269413,0.5025481,0.5182076,0.49328002,0.6701285,0.498539438
Layer_10,0.0714207,0.3768822,0.50341594,0.5757712,0.6176015,0.54334944,0.52997637,0.57499677,0.52135926,0.48208904,0.46885142,0.49473116,0.50732887,0.44467628,0.65317273,0.49104152533333334
Layer_11,0.090623826,0.3503326,0.49153662,0.56694674,0.58648574,0.54959655,0.53560597,0.57865834,0.5341728,0.54253364,0.47652286,0.49792096,0.5133443,0.4657194,0.6480122,0.49520083640000007
Layer_12,0.096381195,0.3609528,0.48007792,0.5791374,0.6121949,0.5343188,0.50961334,0.5580693,0.53820705,0.6989318,0.4646865,0.46245638,0.47765052,0.4601647,0.6127622,0.4963736536666667
Layer_13,0.127889,0.41905573,0.49013382,0.5768366,0.5866825,0.5514154,0.52808785,0.56294864,0.5538753,0.5938377,0.50089705,0.48062843,0.49965632,0.46527612,0.62285185,0.5040048206666666
Layer_14,0.13740596,0.45575258,0.4773369,0.59852177,0.6613265,0.58966136,0.55619276,0.5802761,0.5849972,0.87334377,0.55205,0.49007633,0.5040118,0.4638033,0.6077848,0.5421694086666666
Layer_15,0.20808311,0.5156115,0.49804622,0.61410165,0.69987905,0.5926515,0.55566937,0.58034164,0.5949333,1.0550379,0.6021472,0.5317732,0.51237607,0.4489868,0.66776013,0.5784932426666667
Layer_16,0.28084743,0.5863494,0.5309944,0.68197775,0.79399604,0.6484685,0.6050894,0.6169844,0.6844799,1.0945575,0.70364296,0.569532,0.52240044,0.4693151,0.7425163,0.6354101013333332
Layer_17,0.33388975,0.70207256,0.6601387,0.7564184,0.8931298,0.7640066,0.88129777,0.7163548,1.0287039,1.436003,0.8573557,0.7934733,0.680662,0.6466087,0.8302914,0.7986937586666666
Layer_18,0.36760113,0.81750405,0.72513497,0.9340769,0.9693167,0.89053553,1.1363902,0.9970798,1.1220717,1.870182,1.0566249,0.90597767,1.1940925,1.286717,0.9527122,1.0150678166666667
Layer_19,0.58062804,1.0547725,1.0015683,1.4007504,1.2440435,1.2035236,1.6307517,1.4093336,1.620005,2.212052,1.5234689,1.4093908,1.1107008,1.3167111,1.1597712,1.3251647626666665
Layer_20,0.9042949,1.2504646,1.324763,1.6480384,1.5708909,1.534739,1.9517744,1.9027189,1.8783354,2.2900631,2.0984511,1.5587671,1.3022716,1.8396765,1.4151986,1.6313631666666666
Layer_21,1.2475089,1.538669,1.6879188,2.0628943,2.2036092,2.245597,2.2434814,2.5787961,2.0074108,3.249826,2.6541834,2.3680358,2.0421555,2.4929926,1.704943,2.1552014533333335
Layer_22,1.6538868,1.840907,2.042448,2.4772189,2.72981,2.7934375,2.6758065,3.010461,2.5109184,3.832512,2.866272,2.5543327,2.561795,3.216714,1.8039895,2.571367286666667
Layer_23,1.7508264,2.1385295,2.3822863,2.967129,3.1554372,3.2339175,3.056451,3.5847902,3.0562918,4.0396743,3.845267,3.0779536,2.955546,3.0466921,2.0206144,2.9540937533333333
Layer_24,1.697399,2.4525428,2.6326623,3.1734421,3.3232822,3.533205,3.1706657,3.5530655,3.1775131,4.504417,3.721266,3.138298,4.020037,3.0265534,2.1877763,3.1541416933333335
Layer_25,1.9084266,3.0219977,3.0824685,3.9199831,3.96357,4.1082006,3.8186598,4.4079638,3.5067291,4.928405,4.3656716,3.5417516,4.3832245,3.9175305,3.4389315,3.7542342599999996
Layer_26,2.0173483,3.7542133,3.700742,4.348305,4.7907257,4.734903,5.1605883,5.400907,4.1604037,5.6826124,4.9957457,4.013348,5.0760703,5.17436,4.919844,4.528674446666667
Layer_27,1.5793015,3.8476152,3.8670309,4.4752398,4.814129,5.055565,5.461765,5.892004,4.7031574,5.745938,5.3964787,4.28814,5.6801844,5.2591763,5.9900074,4.803715506666666
Layer_28,1.1182084,4.8876257,4.785157,4.938042,5.2637205,5.943976,6.315913,6.311362,6.349089,6.995488,6.18848,5.185998,6.9128146,6.7117257,8.204016,5.740774393333334
Mean,0.6094438,1.9544889,2.0249622,2.410706,2.5609882,2.349188,2.606215,2.6755767,2.3272765,2.941939,2.3660324,2.2193017,2.6032023,1.9992456,2.5177715,2.2777558533333333
